,WeightAAPL,WeightMSFT,WeightFB
2018-06-01,0.36402523994403263,0.5,0.13597476005596726
2018-07-02,0.39840577404213906,0.5,0.10159422595786093
2018-08-01,0.2846852359316523,0.5,0.2153147640683477
2018-09-04,0.23948597509905517,0.5,0.26051402490094483
2018-10-01,0.29798592592964274,0.5,0.20201407407035732
2018-11-01,0.29838038103863507,0.5,0.20161961896136496
2018-12-03,0.22454104932412897,0.5,0.275458950675871
2019-01-02,0.1166515770351908,0.5,0.3833484229648092
2019-02-01,0.2893192915181948,0.5,0.21068070848180515
2019-03-01,0.27195758073763815,0.5,0.22804241926236182
2019-04-01,0.22030878263183562,0.5,0.2796912173681642
2019-05-01,0.26566761808158573,0.5,0.23433238191841427
2019-06-03,0.2044532871227528,0.5,0.295546712877247
2019-07-01,0.18232132398219272,0.49999999999999983,0.31767867601780747
